Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
9 1 -8.335169 0.0 -92.5718 13.4186 -162.664 387.643 -2573.84 388.433 -2644.89 0.0 388.433 -2644.89 -8.24492 -92.5718 -2357.2734 -2.03626 -2.03626
9 2 -8.252684 0.0 -92.7702 13.4518 -163.672 387.643 -2573.84 388.464 -2644.24 0.0 388.464 -2644.24 -7.80276 -92.7702 -2356.349 -1.3607 -1.3607
9 3 -8.252684 0.0 -92.7702 13.4518 -163.672 387.643 -2573.84 388.464 -2644.24 0.0 388.464 -2644.24 -7.80276 -92.7702 -2356.349 -1.3607 -1.3607
9 4 -8.192236 0.0 -92.0755 13.4648 -163.933 387.643 -2573.84 388.55 -2644.7 0.0 388.55 -2644.7 -7.54304 -92.0755 -2355.7686 -1.13304 -1.13304
9 5 -8.192236 0.0 -92.0755 13.4648 -163.933 387.643 -2573.84 388.55 -2644.7 0.0 388.55 -2644.7 -7.54304 -92.0755 -2355.7686 -1.13304 -1.13304
9 6 -8.192236 0.0 -92.0755 13.4648 -163.933 387.643 -2573.84 388.55 -2644.7 0.0 388.55 -2644.7 -7.54304 -92.0755 -2355.7686 -1.13304 -1.13304
9 7 -8.192236 0.0 -92.0755 13.4648 -163.933 387.643 -2573.84 388.55 -2644.7 0.0 388.55 -2644.7 -7.54304 -92.0755 -2355.7686 -1.13304 -1.13304
10 0 -9.9927635 0.0 -121.024 13.3613 -155.447 387.643 -2573.84 388.112 -2620.37 0.0 388.112 -2620.37 -3.6925 -121.024 -2356.9746 -3.54032 -3.54032
10 1 -9.9927635 0.0 -121.024 13.3613 -155.447 387.643 -2573.84 388.112 -2620.37 0.0 388.112 -2620.37 -3.6925 -121.024 -2356.9746 -3.54032 -3.54032
10 2 -9.9927635 0.0 -121.024 13.3613 -155.447 387.643 -2573.84 388.112 -2620.37 0.0 388.112 -2620.37 -3.6925 -121.024 -2356.9746 -3.54032 -3.54032
10 3 -9.983992 0.0 -120.809 13.3577 -155.343 387.643 -2573.84 388.118 -2620.47 0.0 388.118 -2620.47 -3.67016 -120.809 -2356.8313 -3.42669 -3.42669
10 4 -9.983992 0.0 -120.809 13.3577 -155.343 387.643 -2573.84 388.118 -2620.47 0.0 388.118 -2620.47 -3.67016 -120.809 -2356.8313 -3.42669 -3.42669
10 5 -9.983992 0.0 -120.809 13.3577 -155.343 387.643 -2573.84 388.118 -2620.47 0.0 388.118 -2620.47 -3.67016 -120.809 -2356.8313 -3.42669 -3.42669
